blk_read_time,blk_write_time,calls,local_blks_dirtied,local_blks_hit,local_blks_read,local_blks_written,max_time,mean_time,min_time,query,queryid,rows,shared_blks_dirtied,shared_blks_hit,shared_blks_read,shared_blks_written,stddev_time,temp_blks_read,temp_blks_written,total_time
0.0,0.0,8607,0,0,0,0,0.105,0.00268002788428024,0.001,<insufficient privilege>,,0,0,0,0,0,0.00235939068116097,0,0,23.0669999999999
0.0,0.0,1,0,0,0,0,0.003,0.003,0.003,<insufficient privilege>,,0,0,0,0,0,0.0,0,0,0.003
0.0,0.0,10252,0,0,0,0,14.621,5.18753813889973,0.117,<insufficient privilege>,,10252,0,297087,0,0,5.08412728728551,0,0,53182.6410000001
0.0,0.0,105,0,0,0,0,0.428,0.240323809523809,0.014,<insufficient privilege>,,170,18,2582,0,0,0.0668689543222727,0,0,25.234
0.0,0.0,915,0,0,0,0,4.527,0.0785245901639343,0.063,<insufficient privilege>,,915,0,9150,0,0,0.153082713442396,0,0,71.8499999999998
0.0,0.0,104,0,0,0,0,4.118,0.0703942307692308,0.019,<insufficient privilege>,,0,0,207,1,0,0.398924236547715,0,0,7.32099999999999
0.0,0.0,33,0,0,0,0,0.168,0.0465151515151515,0.023,<insufficient privilege>,,33,15,152,3,0,0.0332776394232389,0,0,1.535
0.0,0.0,286372,0,0,0,0,7.088,0.0162343874401124,0.005,<insufficient privilege>,,286372,14327,1192554,14307,0,0.0628305229176828,0,0,4649.07399998983
0.0,0.0,32,0,0,0,0,0.038,0.0193125,0.016,<insufficient privilege>,,0,0,96,0,0,0.00381966539764938,0,0,0.618
0.0,0.0,4,0,0,0,0,0.088,0.07475,0.066,<insufficient privilege>,,4,2,12,0,0,0.00810478253872366,0,0,0.299
0.0,0.0,53406,0,0,0,0,114.894,0.118214339212823,0.004,<insufficient privilege>,,0,0,373818,24,0,0.662173907022603,0,0,6313.35499999862
0.0,0.0,10300,0,0,0,0,5.588,0.0274226213592233,0.006,<insufficient privilege>,,0,0,55002,0,0,0.0716490918439342,0,0,282.452999999984
0.0,0.0,30,0,0,0,0,0.065,0.0411,0.027,<insufficient privilege>,,30,14,30,0,0,0.00954760004748139,0,0,1.233
0.0,0.0,25387,0,0,0,0,5.127,0.420634694922599,0.248,<insufficient privilege>,,203096,0,1569927,0,0,0.119905126911213,0,0,10678.6529999998
0.0,0.0,58,0,0,0,0,0.605,0.464051724137931,0.34,<insufficient privilege>,,27992,8,290,0,0,0.061714420830197,0,0,26.915
0.0,0.0,13,0,0,0,0,49.481,3.84976923076923,0.02,<insufficient privilege>,,13,23,37,0,0,13.1726103490646,0,0,50.047
0.0,0.0,3676,0,0,0,0,12.838,3.71229978237214,0.25,<insufficient privilege>,,3676,0,11028,0,0,4.79455457944163,0,0,13646.414
0.0,0.0,77,0,0,0,0,0.028,0.0123636363636364,0.006,<insufficient privilege>,,77,0,0,0,0,0.00448057594543754,0,0,0.952000000000001
0.0,0.0,20,0,0,0,0,196.278,159.6828,95.158,<insufficient privilege>,,1160,0,4939,0,0,45.6913370811142,0,0,3193.656
0.0,0.0,395233,0,0,0,0,2.942,0.00745959725022963,0.003,<insufficient privilege>,,395233,0,0,0,0,0.011523781601904,0,0,2948.27900000462
0.0,0.0,118120,0,0,0,0,67.247,0.410560243819843,0.004,<insufficient privilege>,,111228,148,6626909,133,0,0.340949679363368,0,0,48495.376
0.0,0.0,1148,0,0,0,0,0.256,0.0425331010452962,0.028,<insufficient privilege>,,1148,0,4591,1,0,0.0129113751457214,0,0,48.8279999999998
0.0,0.0,1596,0,0,0,0,0.246,0.00975000000000001,0.005,<insufficient privilege>,,1596,59,1724,0,0,0.0093860148325096,0,0,15.5609999999998
0.0,0.0,34,0,0,0,0,0.118,0.0521470588235294,0.024,<insufficient privilege>,,34,44,91,2,0,0.0232810606602691,0,0,1.773
0.0,0.0,2370,0,0,0,0,0.131,0.0131784810126582,0.006,<insufficient privilege>,,2370,25,2420,25,0,0.0105098206541372,0,0,31.2330000000003
0.0,0.0,6696,0,0,0,0,0.908,0.0242912186379928,0.013,<insufficient privilege>,,6696,0,0,0,0,0.0146389039721749,0,0,162.654000000001
0.0,0.0,83,0,0,0,0,0.168,0.0758795180722892,0.011,<insufficient privilege>,,81,0,859,0,0,0.0213029765386506,0,0,6.298
0.0,0.0,8607,0,0,0,0,0.222,0.00292610665737192,0.001,<insufficient privilege>,,0,0,0,0,0,0.00423204322121104,0,0,25.1849999999994
0.0,0.0,2949,0,0,0,0,18.136,2.14280908782638,0.493,<insufficient privilege>,,2949,0,85521,0,0,3.62488677413548,0,0,6319.144
0.0,0.0,8,0,0,0,0,0.032,0.02025,0.017,<insufficient privilege>,,0,0,16,0,0,0.0046837484987988,0,0,0.162
0.0,0.0,8,0,0,0,0,0.034,0.031,0.027,'SELECT n.oid,n.*,d.description FROM pg_catalog.pg_namespace n
LEFT OUTER JOIN pg_catalog.pg_description d ON d.objoid=n.oid AND d.objsubid=? AND d.classoid=?::regclass
 WHERE nspname LIKE $1 ORDER BY nspname',1427835159,8,0,24,0,0,0.00239791576165636,0,0,0.248
0.0,0.0,8607,0,0,0,0,37.977,0.0151479028697572,0.002,<insufficient privilege>,,36741,15,8603,3,0,0.411205865783549,0,0,130.378000000001
0.0,0.0,69,0,0,0,0,0.378,0.212869565217391,0.038,<insufficient privilege>,,538,2,1478,0,0,0.0499909884758891,0,0,14.688
0.0,0.0,4804,0,0,0,0,65.927,0.0497268942547876,0.001,<insufficient privilege>,,70458,436,86129,3,0,0.959423224302838,0,0,238.888
0.0,0.0,109402,0,0,0,0,3.919,0.0165751265973201,0.01,<insufficient privilege>,,0,0,328206,0,0,0.0303971633820746,0,0,1813.35199999984
0.0,0.0,16,0,0,0,0,0.208,0.1059375,0.04,<insufficient privilege>,,16,0,177,0,0,0.0556950051059339,0,0,1.695
0.0,0.0,41,0,0,0,0,1.03,0.423853658536585,0.197,<insufficient privilege>,,41,6,2927,0,0,0.205091004306846,0,0,17.378
0.0,0.0,1852,0,0,0,0,0.084,0.00918682505399569,0.005,<insufficient privilege>,,0,0,0,0,0,0.00387670108494417,0,0,17.0139999999998
0.0,0.0,1851,0,0,0,0,0.356,0.0527239330091842,0.002,<insufficient privilege>,,1962,2,17245,0,0,0.0241672536276381,0,0,97.5920000000004
0.0,0.0,2,0,0,0,0,0.003,0.0025,0.002,<insufficient privilege>,,0,0,0,0,0,0.0005,0,0,0.005
0.0,0.0,74,0,0,0,0,253.717,54.5759729729729,2.424,<insufficient privilege>,,170892,29,1998,0,0,62.5265901577563,0,0,4038.622
0.0,0.0,10,0,0,0,0,0.02,0.0115,0.009,<insufficient privilege>,,0,0,0,0,0,0.00380131556174964,0,0,0.115
0.0,0.0,8879,0,0,0,0,6.458,0.0219753350602546,0.009,<insufficient privilege>,,8879,20,29593,0,0,0.0789749309052981,0,0,195.118999999997
0.0,0.0,112,0,0,0,0,190.497,6.9175625,0.822,<insufficient privilege>,,36613,4382,23203,387,0,24.8386975830275,0,0,774.767000000001
0.0,0.0,585,0,0,0,0,0.118,0.00565128205128205,0.003,<insufficient privilege>,,0,0,0,0,0,0.00588389973861913,0,0,3.30599999999997
0.0,0.0,12,0,0,0,0,0.011,0.00908333333333333,0.007,<insufficient privilege>,,0,0,12,0,0,0.00125554326444328,0,0,0.109
